,,,
Year,Age Group,Child Care Facility,Provider Rate
2000,Infants,Family Child Care Homes,477
2000,Infants,Licensed Center,631
2000,Toddler,Family Child Care Homes,444
2000,Toddler,Licensed Center,540
2000,Preschool,Family Child Care Homes,425
2000,Preschool,Licensed Center,475
2000,School Age,Family Child Care Homes,217
2000,School Age,Licensed Center,269
2001,Infants,Family Child Care Homes,498
2001,Infants,Licensed Center,654
2001,Toddler,Family Child Care Homes,477
2001,Toddler,Licensed Center,555
2001,Preschool,Family Child Care Homes,433
2001,Preschool,Licensed Center,490
2001,School Age,Family Child Care Homes,217
2001,School Age,Licensed Center,280
2002,Infants,Family Child Care Homes,542
2002,Infants,Licensed Center,696
2002,Toddler,Family Child Care Homes,488
2002,Toddler,Licensed Center,585
2002,Preschool,Family Child Care Homes,433
2002,Preschool,Licensed Center,520
2002,School Age,Family Child Care Homes,217
2002,School Age,Licensed Center,300
2003,Infants,Family Child Care Homes,542
2003,Infants,Licensed Center,706
2003,Toddler,Family Child Care Homes,542
2003,Toddler,Licensed Center,607
2003,Preschool,Family Child Care Homes,455
2003,Preschool,Licensed Center,545
2003,School Age,Family Child Care Homes,238
2003,School Age,Licensed Center,316
2004,Infants,Family Child Care Homes,542
2004,Infants,Licensed Center,706
2004,Toddler,Family Child Care Homes,542
2004,Toddler,Licensed Center,607
2004,Preschool,Family Child Care Homes,477
2004,Preschool,Licensed Center,554
2004,School Age,Family Child Care Homes,238
2004,School Age,Licensed Center,316
2005,Infants,Family Child Care Homes,542
2005,Infants,Licensed Center,737
2005,Toddler,Family Child Care Homes,542
2005,Toddler,Licensed Center,628
2005,Preschool,Family Child Care Homes,477
2005,Preschool,Licensed Center,576
2005,School Age,Family Child Care Homes,260
2005,School Age,Licensed Center,325
2006,Infants,Family Child Care Homes,587
2006,Infants,Licensed Center,776
2006,Toddler,Family Child Care Homes,542
2006,Toddler,Licensed Center,650
2006,Preschool,Family Child Care Homes,498
2006,Preschool,Licensed Center,594
2006,School Age,Family Child Care Homes,260
2006,School Age,Licensed Center,338
2007,Infants,Family Child Care Homes,607
2007,Infants,Licensed Center,802
2007,Toddler,Family Child Care Homes,585
2007,Toddler,Licensed Center,685
2007,Preschool,Family Child Care Homes,520
2007,Preschool,Licensed Center,607
2007,School Age,Family Child Care Homes,260
2007,School Age,Licensed Center,347
2008,Infants,Family Child Care Homes,650
2008,Infants,Licensed Center,845
2008,Toddler,Family Child Care Homes,617
2008,Toddler,Licensed Center,715
2008,Preschool,Family Child Care Homes,542
2008,Preschool,Licensed Center,650
2008,School Age,Family Child Care Homes,296
2008,School Age,Licensed Center,364
2009,Infants,Family Child Care Homes,650
2009,Infants,Licensed Center,867
2009,Toddler,Family Child Care Homes,650
2009,Toddler,Licensed Center,732
2009,Preschool,Family Child Care Homes,559
2009,Preschool,Licensed Center,659
2009,School Age,Family Child Care Homes,305
2009,School Age,Licensed Center,378
2010,Infants,Family Child Care Homes,675
2010,Infants,Licensed Center,886
2010,Toddler,Family Child Care Homes,650
2010,Toddler,Licensed Center,750
2010,Preschool,Family Child Care Homes,563
2010,Preschool,Licensed Center,683
2010,School Age,Family Child Care Homes,305
2010,School Age,Licensed Center,390
2011,Infants,Family Child Care Homes,758
2011,Infants,Licensed Center,975
2011,Toddler,Family Child Care Homes,715
2011,Toddler,Licensed Center,819
2011,Preschool,Family Child Care Homes,637
2011,Preschool,Licensed Center,737
2011,School Age,Family Child Care Homes,477
2011,School Age,Licensed Center,390
2012,Infants,Family Child Care Homes,737
2012,Infants,Licensed Center,932
2012,Toddler,Family Child Care Homes,702
2012,Toddler,Licensed Center,780
2012,Preschool,Family Child Care Homes,607
2012,Preschool,Licensed Center,715
2012,School Age,Family Child Care Homes,325
2012,School Age,Licensed Center,429
2013,Infants,Family Child Care Homes,758
2013,Infants,Licensed Center,953
2013,Toddler,Family Child Care Homes,715
2013,Toddler,Licensed Center,802
2013,Preschool,Family Child Care Homes,637
2013,Preschool,Licensed Center,719
2013,School Age,Family Child Care Homes,381
2013,School Age,Licensed Center,455
2014,Infants,Family Child Care Homes,758
2014,Infants,Licensed Center,975
2014,Toddler,Family Child Care Homes,715
2014,Toddler,Licensed Center,819
2014,Preschool,Family Child Care Homes,637
2014,Preschool,Licensed Center,737
2014,School Age,Family Child Care Homes,390
2014,School Age,Licensed Center,477
2015,Infants,Family Child Care Homes,758
2015,Infants,Licensed Center,997
2015,Toddler,Family Child Care Homes,737
2015,Toddler,Licensed Center,758
2015,Preschool,Family Child Care Homes,650
2015,Preschool,Licensed Center,832
2015,School Age,Family Child Care Homes,433
2015,School Age,Licensed Center,483
2016,Infants,Family Child Care Homes,802
2016,Infants,Licensed Center,1053
2016,Toddler,Family Child Care Homes,758
2016,Toddler,Licensed Center,884
2016,Preschool,Family Child Care Homes,650
2016,Preschool,Licensed Center,797
2016,School Age,Family Child Care Homes,466
2016,School Age,Licensed Center,520
2017,Infants,Family Child Care Homes,867
2017,Infants,Licensed Center,1101
2017,Toddler,Family Child Care Homes,780
2017,Toddler,Licensed Center,936
2017,Preschool,Family Child Care Homes,676
2017,Preschool,Licensed Center,832
2017,School Age,Family Child Care Homes,433
2017,School Age,Licensed Center,507
2018,Infants,Family Child Care Homes,888
2018,Infants,Licensed Center,1135
2018,Toddler,Family Child Care Homes,823
2018,Toddler,Licensed Center,966
2018,Preschool,Family Child Care Homes,702
2018,Preschool,Licensed Center,867
2018,School Age,Family Child Care Homes,390
2018,School Age,Licensed Center,498
2019,Infants,Family Child Care Homes,920
2019,Infants,Licensed Center,1211
2019,Toddler,Family Child Care Homes,840
2019,Toddler,Licensed Center,1040
2019,Preschool,Family Child Care Homes,758
2019,Preschool,Licensed Center,923
2019,School Age,Family Child Care Homes,433
2019,School Age,Licensed Center,550
